id,question,language,intent,proposed_relevant_document_ids,reviewed_relevant_document_ids,review_status,reviewer,reviewed_at,notes
expanded-001,What does ISPU 125 mean?,English,policy,ispu,,seeded_pending_human_review,,,
expanded-002,Please explain: What does ISPU 125 mean?,English,policy,ispu,,seeded_pending_human_review,,,
expanded-003,"In simple terms, What does ISPU 125 mean?",English,policy,ispu,,seeded_pending_human_review,,,
expanded-004,"For a Jakarta resident, What does ISPU 125 mean?",English,policy,ispu,,seeded_pending_human_review,,,
expanded-005,What does the evidence say about this: What does ISPU 125 mean?,English,policy,ispu,,seeded_pending_human_review,,,
expanded-006,Apa arti ISPU 125?,Bahasa Indonesia,policy,ispu,,seeded_pending_human_review,,,
expanded-007,Tolong jelaskan: Apa arti ISPU 125?,Bahasa Indonesia,policy,ispu,,seeded_pending_human_review,,,
expanded-008,"Secara sederhana, Apa arti ISPU 125?",Bahasa Indonesia,policy,ispu,,seeded_pending_human_review,,,
expanded-009,"Untuk warga Jakarta, Apa arti ISPU 125?",Bahasa Indonesia,policy,ispu,,seeded_pending_human_review,,,
expanded-010,Apa kata bukti resmi tentang ini: Apa arti ISPU 125?,Bahasa Indonesia,policy,ispu,,seeded_pending_human_review,,,
expanded-011,Where can I find official Jakarta monitoring stations?,English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-012,Please explain: Where can I find official Jakarta monitoring stations?,English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-013,"In simple terms, Where can I find official Jakarta monitoring stations?",English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-014,"For a Jakarta resident, Where can I find official Jakarta monitoring stations?",English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-015,What does the evidence say about this: Where can I find official Jakarta monitoring stations?,English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-016,Di mana saya dapat menemukan stasiun pemantauan resmi Jakarta?,Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-017,Tolong jelaskan: Di mana saya dapat menemukan stasiun pemantauan resmi Jakarta?,Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-018,"Secara sederhana, Di mana saya dapat menemukan stasiun pemantauan resmi Jakarta?",Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-019,"Untuk warga Jakarta, Di mana saya dapat menemukan stasiun pemantauan resmi Jakarta?",Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-020,Apa kata bukti resmi tentang ini: Di mana saya dapat menemukan stasiun pemantauan resmi Jakarta?,Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-021,Are WHO air-quality guidelines Indonesian law?,English,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-022,Please explain: Are WHO air-quality guidelines Indonesian law?,English,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-023,"In simple terms, Are WHO air-quality guidelines Indonesian law?",English,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-024,"For a Jakarta resident, Are WHO air-quality guidelines Indonesian law?",English,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-025,What does the evidence say about this: Are WHO air-quality guidelines Indonesian law?,English,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-026,Apakah pedoman kualitas udara WHO merupakan hukum Indonesia?,Bahasa Indonesia,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-027,Tolong jelaskan: Apakah pedoman kualitas udara WHO merupakan hukum Indonesia?,Bahasa Indonesia,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-028,"Secara sederhana, Apakah pedoman kualitas udara WHO merupakan hukum Indonesia?",Bahasa Indonesia,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-029,"Untuk warga Jakarta, Apakah pedoman kualitas udara WHO merupakan hukum Indonesia?",Bahasa Indonesia,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-030,Apa kata bukti resmi tentang ini: Apakah pedoman kualitas udara WHO merupakan hukum Indonesia?,Bahasa Indonesia,regulation,"who-guidance,jakarta-regulations",,seeded_pending_human_review,,,
expanded-031,What are the main sources of Jakarta PM2.5?,English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-032,Please explain: What are the main sources of Jakarta PM2.5?,English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-033,"In simple terms, What are the main sources of Jakarta PM2.5?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-034,"For a Jakarta resident, What are the main sources of Jakarta PM2.5?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-035,What does the evidence say about this: What are the main sources of Jakarta PM2.5?,English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-036,Apa sumber utama PM2.5 di Jakarta?,Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-037,Tolong jelaskan: Apa sumber utama PM2.5 di Jakarta?,Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-038,"Secara sederhana, Apa sumber utama PM2.5 di Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-039,"Untuk warga Jakarta, Apa sumber utama PM2.5 di Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-040,Apa kata bukti resmi tentang ini: Apa sumber utama PM2.5 di Jakarta?,Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-041,"How do transport, industry, and open burning affect Jakarta air?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-042,"Please explain: How do transport, industry, and open burning affect Jakarta air?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-043,"In simple terms, How do transport, industry, and open burning affect Jakarta air?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
